arquivo,data,largura,altura,rotacao,segundos,mb
20240327_144630.mp4,20240327,1920,1080,-90,4,10.1
20240327_152441.mp4,20240327,1920,1080,-90,6,13.4
20240327_152515.mp4,20240327,1920,1080,-90,4,10.2
20240327_153501.mp4,20240327,1920,1080,-90,4,10.2
20240524_143429.mp4,20240524,1920,1080,-90,9,20.5
20240524_143638.mp4,20240524,1920,1080,-90,9,19.0
20240524_143654.mp4,20240524,1920,1080,-90,5,11.3
20241127_131651.mp4,20241127,1920,1080,-90,6,13.9
20241212_143853.mp4,20241212,1920,1080,-90,13,28.8
20241212_144439.mp4,20241212,1920,1080,-90,7,15.8
20250515_222420.mp4,20250515,1920,1080,-90,57,119.7
20250515_222558.mp4,20250515,1920,1080,-90,4,10.5
20250531_122824(1).mp4,20250531,1920,1080,-90,11,23.1
20250531_122824.mp4,20250531,1920,1080,-90,11,23.1
20250531_122945.mp4,20250531,1920,1080,-90,10,21.9
20251113_124703(1).mp4,20251113,1280,720,-90,5,8.5
20251113_124703.mp4,20251113,1280,720,-90,5,8.5
20251113_124812(1).mp4,20251113,1280,720,-90,13,19.2
20251113_124812.mp4,20251113,1280,720,-90,13,19.2
20251204_163359.mp4,20251204,1280,720,-90,12,19.0
20251204_163421.mp4,20251204,1280,720,-90,12,19.0
20251204_163441.mp4,20251204,1280,720,-90,9,13.9
20251219_190818.mp4,20251219,1280,720,-90,11,16.7
20251219_191023.mp4,20251219,1280,720,-90,6,10.0
20260130_111550.mp4,20260130,1280,720,-90,4,6.9
20260323_133931.mp4,20260323,1280,720,-90,15,23.0
20260402_003855.mp4,20260402,1280,720,-90,2,3.2
20260402_012820.mp4,20260402,1280,720,-90,8,12.9
20260418_014422.mp4,20260418,1280,720,-90,5,8.7
20260418_014434.mp4,20260418,1280,720,-90,12,18.6
20260523_142335(1).mp4,20260523,1280,720,-90,9,13.5
20260523_142335.mp4,20260523,1280,720,-90,9,13.5
20260523_142434.mp4,20260523,1280,720,-90,4,7.0
20260523_163908.mp4,20260523,1280,720,-90,9,13.4
20260523_163948.mp4,20260523,1280,720,-90,5,8.6
20260523_163957.mp4,20260523,1280,720,-90,8,13.2
20260523_164130(1).mp4,20260523,1280,720,-90,12,18.3
20260523_164130.mp4,20260523,1280,720,-90,12,18.3
20260526_175550(1).mp4,20260526,1280,720,-90,16,23.9
20260526_175550.mp4,20260526,1280,720,-90,16,23.9
20260723_124648.mp4,20260723,1280,720,-90,8,13.3
20260723_142648.mp4,20260723,1280,720,-90,7,11.1
20260827_205602.mp4,20260827,1280,720,-90,5,8.5
20260827_205619.mp4,20260827,1280,720,-90,9,13.9
20260827_205647(1).mp4,20260827,1280,720,-90,7,10.7
20260827_205647.mp4,20260827,1280,720,-90,7,10.7
20260827_205845.mp4,20260827,1280,720,-90,16,24.6
20260827_210009.mp4,20260827,1280,720,-90,9,13.8
20260827_210032.mp4,20260827,1280,720,-90,5,8.2
20260827_210111.mp4,20260827,1280,720,-90,11,17.2
20260827_210135.mp4,20260827,1280,720,-90,8,12.1
20260827_210150.mp4,20260827,1280,720,-90,6,9.5
20260827_210316.mp4,20260827,1280,720,-90,10,15.7
20260827_210338.mp4,20260827,1280,720,-90,9,13.9
20260827_210451.mp4,20260827,1280,720,-90,7,10.4
VID-20260822-WA0013.mp4,20260822,478,850,0,1,.4
VID-20260822-WA0014.mp4,20260822,478,850,0,3,.7
VID-20260822-WA0015.mp4,20260822,478,850,0,3,.6
VID-20260822-WA0016.mp4,20260822,478,850,0,4,.9
VID-20260822-WA0017.mp4,20260822,478,850,0,6,1.2
VID-20260822-WA0018.mp4,20260822,478,850,0,5,1.0
VID-20260822-WA0019.mp4,20260822,478,850,0,5,.9
VID-20260827-WA0078.mp4,20260827,478,850,0,21,5.0
VID-20260828-WA0010.mp4,20260828,478,850,0,12,2.1
VID-20260828-WA0012.mp4,20260828,478,850,0,6,1.0
